,Unnamed: 0,textOriginal,authorDisplayName,Prabowo,Ganjar,Anies,preprocessed,Prabowo2
1066,2110,Kasian si Anies,bobby kurwet,,,Anies,kasihan sih anies,0
1067,2111,meskipun dalam adu gagasan dan argumen pak prabowo kalah telak dg anies & ganjar tetapi dr segi kejujuran keikhlasan mengabdi terhadap negara pak prabowo lebih unggul drpd kedua lawannya... 2024 prabowo RI1,arek_ ari,Prabowo,Ganjar,Anies,adu gagas argumen prabowo kalah telak anies ganjar segi jujur ikhlas abdi negara prabowo unggul lawan prabowo ri,1
1068,2112,"Sejauh ini saya baru melihat Prabowo yang lebih banyak realisasi program² nya yang tergolong gebrakan besar dalam instansi nya dan diplomasi internasional nya lebih banyak hasil terutama banget pengembangan industri militer dalam negeri. Anies saya udah ilfil sejak awal sampe jaman covid karena banyak over nya, kalau soal intelektualitas ok lah, tapi ini bisa jadi pedang bermata dua, antara dia cuma jago ngomong atau jago diplomasi. Untuk Ganjar saya masih belum tahu terlalu banyak tentang hubungan internasional beliau, hanya saja sepertinya akan kurang independen power pribadi nya mengingat dia bukan ketum partai maka dia seperti refleksi dari ketum partai nya.",nonamed,Prabowo,Ganjar,Anies,prabowo realisasi program nya golong gebrak instansi nya diplomasi internasional nya hasil banget kembang industri militer negeri anies ilfil jaman covid over nya intelektualitas ok pedang mata jago omong jago diplomasi ganjar hubung internasional beliau independen power pribadi nya tum partai refleksi tum partai nya,1
1069,2113,"Masalah politik uang...mbak Nana ga faham dgn jawaban pak prabowo.klo mau jelas apa yg dimaksud pak Prabowo silahkan hub saya mbk.
Jawaban dasar: kita ini tidak sama mbk ada yg kaya ada yg miskin..dst",Alken and abi,Prabowo,,,politik uang mbak nana faham prabowokalo prabowo sila hubung mbak dasar mbak kayak miskin dst,1
1070,2114,"44:17 Jumlah kekayaan Bapak Anies Baswedan
3:19:08 Jumlah kekayaan Bapak Ganjar Pranowo
5:30:36 Jumlah kekayaan Bapak Prabowo Subianto",Hafiz Indrawan,Prabowo,Ganjar,Anies,kaya anies anies kaya ganjar ganjar kaya prabowo prabowo,1
1071,2115,"ganjar ngrendahkan profesi MC wkwkwkwkwk,kok heran masih ada gg milih banteng wkwkwkwk",Araya official gondanglegi,,Ganjar,,ganjar ngrendahkan profesi mc wkwkwkwkwk heran pilih banteng wkwkwkwk,0
1072,2117,Aku ga fokus ke acaranya. Tapi lebih senang baca komentarnya. Dari sekian banyak acara dari 3 pasanga capres. Di layar kaca atau medsos. Kebanyakan pemilih nya ke pak anis. Faktor apa ya. Kira2,Bisri Syafi,,,Anies,fokus acara senang baca komentar sekian acara pasanga capres layar kaca medsos banyak pilih nya anies faktor ya,0
1073,2119,"Dari 3 capres ini cuma pak prabowo yg ngk ngebual janji, krn dia yg paling realita dng gagasan2nya itu bagus bnget utk masa depan bangsa, dan dia mau indonesia ngk tergantung sm asing, dia mau pendidikan berkualitas utk indonesia maju❤",Hendsy Hendsy,Prabowo,,,capres prabowo ngebual janji realita gagas bagus banget bangsa indonesia gantung asing didik kualitas indonesia maju,1
1074,2120,"Sy hanya mau bilang tolong nonton dari awal sampai akhir ketiga calon jangan diskip biar klian tau yang mana pantas menjdi presiden kita,teruntuk pak prabowo,paaakkkk kamu hebat,bapak tidak pernah menyerah tidak bisakah kita beri kesempatan ke pak prabowo kalau kalian punya hati dan pham tujuan pak prabowo apa saya yakin indonesia akan menjadi negara yang kuat bahkan memulih dan membaik meneruskan dari pak jokowi. ❤ kita butuh sosok pemimpin yang tegas dan kuat guys zaman semakin seram kita butuh pak prabowo jadi pintu kita untuk tidak ter injak negara lain.",Catline,Prabowo,,,bilang tolong tonton tiga calon skip biar tau presiden untuk prabowo hebat serah sempat prabowo hati pham tuju prabowo indonesia negara kuat pulih baik terus jokowi butuh sosok pimpin kuat guys zaman seram butuh prabowo pintu ter injak negara,1
1075,2123,Kak aku mungkin menebak yang menang pasti pak Prabowo saya hanya menebak,Rockstar,Prabowo,,,kak tebak menang prabowo tebak,1
1076,2125,pk Prabowo sangatlah jujur apa adanya bahasa pk Prabowo tdk dibuat buat atau di manis maniskan. walaupun jawaban yg sederhana tapi apa adanya.. mantap,perahu samudra,Prabowo,,Anies,pakai prabowo jujur bahasa pakai prabowo manis manis sederhana mantap,1
1077,2126,"Belum selesai nonton sampai full, baru selesai mendengarkan di pak anies aja. Jujur sy kaget sekali mendengarkan pemaparan dari pak anies, gagasan-gagasan beliau sangat luar biasa sekali. Beliau memiliki visi yang sangat jelas, terarah, & jauh ke depan, terutama mengenai keadilan pemerataan di sektor pendidikan. Target beliau bukan untuk 5 tahun ke depan, tapi jauh di masa yg akan datang indonesia akan memiliki SDM yg berkualitas & berdaya saing tinggi. Jika target pemimpin hanya untuk 5 tahun ke depan maka selamanya indonesia tidak akan pernah bisa maju, karena visi jangka pendek tidak akan berdampak apapun terhadap masa-masa yg akan datang. Ibarat pemain catur jika yg dipikirkan hanya 1 langkah ke depan maka anda tidak akan pernah menjadi pemenang. Anda perlu berfikir untuk 1000 langkah ke depan untuk menjadi sang juara. Mantaap pak anies 👍👍👍
Besok lanjut nonton lagi mendengarkan pemikiran & gagasan-gagasan dari 2 capres yg lain. Semoga 2 capres yg lain juga memiliki pandangan yg bagus, karena bangsa ini butuh putra-putri terbaik untuk indonesia yg lebih maju & berdaulat 🇮🇩",Pengajian Gus Baha Terbaru,,,Anies,selesai tonton ful selesai dengar anies jujur kaget dengar papar anies gagasangagasan beliau beliau milik visi arah adil perata sektor didik target beliau indonesia milik sdm kualitas daya saing target pimpin indonesia maju visi jangka pendek dampak apa masamasa main catur pikir langkah menang pikir langkah sang juara mantap anies jempol ke atas jempol ke atas jempol ke atas besok tonton dengar pikir gagasangagasan capres moga capres milik pandang bagus bangsa butuh putraputri baik indonesia maju daulat bendera indonesia,0
1078,2127,Pak prabowo gemoyy bangettt lope lope buat pak prabowo hahaa ❤❤,Panji Anom,Prabowo,,,prabowo gemoy banget lope lope prabowo haha,1
1079,2129,"Anies pinter nya alami, penyampainya sangat jelas ketika di lontarkan pertanyaan2, keliatan niatnya baik sangat ambisius dan peduli ke masyarakat kalangan  rendah, tp prabowo tidak kalah ambisius untuk membangun bangsa menjadi bangsa yg terpuji,ternama,dan terhormat kalo ada pilihan prabowo-anies saya pilih sbgi capres-waprea",Whyu Alvaro_07,Prabowo,,Anies,anies pintar nya alami sampa lontar tanya niat ambisius peduli masyarakat kalang rendah prabowo kalah ambisius bangun bangsa bangsa puji nama hormat kalo pilih prabowoanies pilih sbgi capreswaprea,1
1080,2132,"Pandangan setiap bacapres banyak (+) (-) nya akan tetapi kita harus benar"" tepat memilih pemimpin karena menentukan Indonesia 5tahun kedepannya, mungkin disini masyarakat sudah merasa dampak dri rezim hari ini sungguh diluar nalar, semoga omongan para bacapres bisa terbukti ketika duduk di bangku kekuasaan😊😊 

 #all in Prabowo 😅😅",capkuy gaming,Prabowo,,,pandang bacapres nya pilih pimpin tentu indonesia tahun depan masyarakat dampak rezim sungguh luar nalar moga omong bacapres bukti duduk bangku kuasa wajah senyum dengan mata bahagia wajah senyum dengan mata bahagia al prabowo wajah senyum lebar dan keringat wajah senyum lebar dan keringat,1
1081,2133,Klo lomba bicara Anies gak da imbangnya.😂😂,Alex Baros,,,Anies,kalo lomba bicara anies dah imbang wajah gembira urai air mata wajah gembira urai air mata,0
1082,2135,Yang waras pilih prabowo✊,Qeis Syafik,Prabowo,,,waras pilih prabowo tangan kepal ke atas,1
1083,2136,"Tidak menyudutkan salah satu,dua atau tiga..Pilihlah presiden yang Sedikit bicara banyak bekerja ...ga banyak janji manis karena akan pahit endingnya..apalagi mulut manis kaya sales ..rakyat indonesia harus pintar pilih..jangan asal satu golongan semua di pertaruhkan..semoga sehat beliau bertiga",pelawak bukan badut,,,Anies,sudut salah pilih presiden bicara janji manis pahit endingnya mulut manis kayak sales rakyat indonesia pintar pilih golong taruh moga sehat beliau tiga,0
1084,2139,Pak Anies gk muluk tapi berlogika gagasanya,Ataki Al buqorih,,,Anies,anies muluk logika gagasanya,0
1085,2140,"Niat ingsun. Bismillahirrahmanirrahim.

Assalamualaikum.wr.wb.
Salam sejahtra untuk kita semua..Rahayu..salam damai..

Saya Ahmad Taufik dari Baturaja Palembang......
Ingin berkomentar dan berpesan...
Yg pertama komentar saya untuk 3 bakal peresiden semua sudah cukup jelas bahkan udah jelas menyampaikn gagasan gagasannya untuk membawa Indonesia emas....

Pesan saya untuk presiden 2024 
Saya peribadi dengan tulus ikhlas meskipun saya orang biasa..susah..bahkan hanya mimpi bagi saya untuk menjadi orang sukses apalagi bertemu dengan BPK Prabowo....
KALI INI BERILAH KESEMPATAN UNTUK BPK PRABOWO ....
Untuk menjadi INDONESIA yang damai......nyuwon ayo sedulur.....bareng......bareng.....
BPK PRABOWO PRESIDEN 2024
Ratu adil kedamaian...AMIN..
wslmualaikum.wr.wb.rahayu..rahayu...🙏🙏🙏",Danar Tri,Prabowo,,,niat ingsun bismillahirrahmanirrahim assalamualaikumwrwb salam sejahtra rahayu salam damai ahmad taufik baturaja palembang komentar pesan komentar residen menyampaikn gagas gagas bawa indonesia emas pesan presiden peribadi tulus ikhlas orang susah mimpi orang sukses temu bpk prabowo kali ilah sempat bpk prabowo indonesia damai nyuwon ayo dulur bareng bareng bpk prabowo presiden ratu adil damai amin wslmualaikumwrwbrahayu rahayu lipat tangan lipat tangan lipat tangan,1
1086,2143,"Najwa Shihab memang jos...
Ajur prabowo😂",Yainuri Setyanto,Prabowo,,,najwa shihab jos ajur prabowo wajah gembira urai air mata,1
1087,2144,"Ubah stigma budaya kita untuk memilih dengan menolak terima sembako menjelang pemilu, pilih pemimpin jurdil dan transparan tanpa ada balas jasa kepada elite dan konglo maka Anies Amin bebas menjalankan kebijakan untuk mensejahterakan rakyatnya jauh dari elite politik dan petugas partai..Anies Amin Presidenku 2024🎉🎉.",Nyonyonk Quu,,,Anies,ubah stigma budaya pilih tolak terima sembako jelang milu pilih pimpin jurdil transparan balas jasa elite konglo anies amin bebas jalan bijak sejahtera rakyat elite politik tugas partai anies amin presiden party popper party popper,0
1088,2146,"semua program yang Pak Prabowo sampaikan mencakup semua kebutuhan manusia, mulai dari sisi keagamaan, kesehatan, pendidikan bahkan uang yang merupakan sumber akar perpecahan di negeri beliau sadar akan hal itu. Wajar punya aset tinggi karena mindsetnya juga luar biasa. terbaik dan semoga beliau bisa menjadi presiden 2024!ending refleksi pak Prabowo keren👍👍",Laurel Vinysi,Prabowo,,,program prabowo cakup butuh manusia sisi agama sehat didik uang sumber akar pecah negeri beliau sadar wajar aset mindsetnya baik moga beliau presiden ending refleksi prabowo keren jempol ke atas jempol ke atas,1
1089,2148,prabowo presiden 2024 !!!!,Michael Everhart,Prabowo,,,prabowo presiden,1
1090,2149,"😂😂lihat pak Prabowo seneng banget bicara ama mbak"" nana seru bnget😅.
Pak Prabowo semoga jadi presiden selanjut pak saya doa kan semoga Indonesia semakin sejahtera ditanggan pak amin🤲🤲🤲☺️",Nano Sasono,Prabowo,,,wajah gembira urai air mata wajah gembira urai air mata lihat prabowo senang banget bicara mbak nana seru banget wajah senyum lebar dan keringat prabowo moga presiden lanjut doa moga indonesia sejahtera ditanggan amin tangan angkat dan rapat sama tangan angkat dan rapat sama tangan angkat dan rapat sama wajah senyum,1
1091,2150,"Pak Anies Jelas dan Tertata, Pak Ganjar Tajam dan Dalam, Pak Prabowo Tegas dan Mudah Dipahami",Rumah Predator,Prabowo,Ganjar,Anies,anies tata ganjar tajam prabowo mudah paham,1
1092,2151,GANJAR YESSS,kasan fasya,,Ganjar,,ganjar yes,0
1093,2153,1 privinsi saya Dukung PAK PRABOWO. karna beliau pernah Hidup di jaman era soekarno sampai era pemerintahan skrng.. Pasti dah ngerasain Car kinerja semua pemerintahan... Dan 1 lgi.BELIAU TIDAK RELA BANGSA INDONESIA DI HINA OLEH ORANG SING ORANG LUAR... Seperti Hal nya Ucapan BP.SOEKARNO 🤲🙏👍,ᴛᴜᴍʙɪʟᴀ ᴄʀᴇᴀᴛᴏʀ,Prabowo,,,privinsi dukung prabowo beliau hidup jaman era soekarno era perintah deh rasai car kerja perintah lagibeliau rela bangsa indonesia hina orang sing orang nya ucap bpsoekarno tangan angkat dan rapat sama lipat tangan jempol ke atas,1
1094,2156,Saya sih team prabowooooo xixix,Raesita Salamah,Prabowo,,,sih team prabowo xixix,1
1095,2160,Aduh anis pinter bnget ngomong apa masih ingat DP rumah nol persen bos,KEDONDONG CITY,,,Anies,aduh anies pintar banget omong dp rumah nol persen bos,0
1096,2163,BPK ANIES BASWEDAN PRESIDEN TERBAIK KU,Abdurahman Kece,,,Anies,bpk anies anies presiden baik ku,0
1097,2164,Anis omdo,APS,,,Anies,anies omong doang,0
1098,2165,"Dari 3 calon, Pak ANIES BASWEDAN yg terbaik👍👏👏👏",Hendro Miau,,,Anies,calon anies anies baik jempol ke atas tepuk tangan tepuk tangan tepuk tangan,0
1099,2167,"3 orang sama aja,si ABW banyak omong,si PB ga suka di singgung,si GP sok percaya diri... padahl di jawa di desa semua di serahkan semua ke KADES dan KADES nyatanya suka pilih keluarga yang dekat dan utamnya keluarganya untuk menyejahterahkan",kenzogaming28,,Ganjar,,orang sih abw omong sih pb suka singgung sih ganjar sok percaya jawa desa serah kades kades suka pilih keluarga utamnya keluarga menyejahterahkan,0
1100,2169,Pak ganjar kinerjanya sudah sangat tepat. Kerja nyata blusukaan langsung,Anting Putri,,Ganjar,,ganjar kerja kerja nyata blusukaan langsung,0
1101,2170,"Bissmillahirrohmaninrrohim

PRABOWO SUBIANTO Presiden RI Ke 8.",Minion`Z³,Prabowo,,,bissmillahirrohmaninrrohim prabowo prabowo presiden ri,1
1102,2172,"Awalnya lihat sosmed sya benci anies, tpi setelah melihat gagasan2 yg lain, anis lbh logis",LunathicSkyes,,,Anies,lihat sosmed benci anies gagas anies logis,0
1103,2173,"3. Prabowo= fokus ekonomi receh jangka pendek ( petani,dll)
2. Ganjar = Kebanyakan cerita 
1. Anies = Fokus pada sektor pendidikan, Pendidikan sebagai penggerak ekonomi masa depan.",Derry Dharmawangsa,Prabowo,Ganjar,Anies,prabowo fokus ekonomi receh jangka pendek tani ganjar banyak cerita anies fokus sektor didik didik gerak ekonomi,1
1104,2174,Yohanes anies selalu pesimis,Rich Man,,,Anies,yohanes anies pesimis,0
1105,2175,"Yg komen mendukung Anis bnyk bgt. Tolong pd pastikan orang tua kalian, orang tua tetangga kalian, suruh coblos yg bener, jangan mau dibodoh2in sm kader partai yg menyesatkan, diiming2i duit, diancam bantuan sosial dihentikan klo presidennya bukan dari partai onoh 😂",Drajat Indra Prasetya,,,Anies,komen dukung anies banget tolong pasti orang tua orang tua tetangga suruh coblos dibodohin kader partai sesat diimingi duit ancam bantu sosial henti kalo presiden partai sono wajah gembira urai air mata,0
1106,2178,"Si mulut manis yg nyelakit, sangat berbahaya...",Wilza Syahlewi,,,Anies,sih mulut manis nyelakit bahaya,0
1107,2179,"Ganjar Wasting time bgt, tiap ditanya kok malah nanya balik dari mana org mana, dosennya siapa. Keliatan mau mengalihkan atau mengaburkan fokus penanya.",Fajar Muhamad Sidiq,,Ganjar,,ganjar wasting time banget orang dosen alih abur fokus pena,0
1108,2181,Lagi cari video ganjar blunder ???,Haris Fadillah,,Ganjar,,cari video ganjar blunder,0
1109,2183,Jawaban paling cerdas anis,RD13 Subrek,,,Anies,cerdas anies,0
1110,2184,MasyaAllah.. Pak prabowo tulus dan punya rasa nasionalisme yg sangat tnggi. Semoga beliau dimudahkaan dan terpilih menjadi presidan 2023. Aamiin,sara septiana,Prabowo,,,masyaallah prabowo tulus nasionalisme tnggi moga beliau dimudahkaan pilih presidan amin,1
1111,2186,Ma'af pak Anies ngomng nya kurang Nyambung?,Nasi goreng Udin,,,Anies,samaaf anies omong nya sambung,0
1112,2187,Ayo rakyat buktikan orang baik dan tulus berprestasi seperti pak @aniesbaswedan bisa menang melawan rezim mafia kotor ini!!! #2024anispresiden,Filosofi Jam Dinding Channel,,,Anies,ayo rakyat bukti orang tulus prestasi aniesbaswedan menang lawan rezim mafia kotor anispresiden,0
1113,2188,"Sekalian dong mba nana dan team kreatif video janji mereka di ringkas nanti kalau ada yg tidak sesuai janji masukin Videotron deket istana untuk biaya bisa ajukan dari kolekan di sosmed. Capek demo eh narator demo di panggil masuk, pas keluar muka adem dengan janji manis dan sedikit uang jajan.",Disa Setiawan,,,Anies,mbak nana team kreatif video janji ringkas sesuai janji pasuk videotron istana biaya aju kolek sosmed capek demo eh narator demo panggil masuk pas muka adem janji manis uang jajan,0
1114,2189,Semoga pak Anis bisa menjadi pemimpin negara Indonesia 🙏🏻,agus seprizal,,,Anies,moga anies pimpin negara indonesia lipat tangan warna kulit cerah,0
1115,2191,Bismillahirrahmanirrahim Anies RI 1,Anton Breaker,,,Anies,bismillahirrahmanirrahim anies ri,0
1116,2194,Kaki pak prabowo kenapa?,Stella Levina,Prabowo,,,kaki prabowo,1
1117,2195,Allahuakbar bapak Prabowo ❤ ..terlihat begitu besar ketulusan nya untuk Bangsa Indonesia ini..semoga bapak selalu di berikan kesehatan dan selalu ada dalam lindungan Allah SWT ❤.,Andi Wijaya,Prabowo,,,allahuakbar prabowo tulus nya bangsa indonesia moga sehat lindung allah swt,1
1118,2201,Cuma pak Ganjar yang bikin aku ngantuk.,CRUISER 4.0,,Ganjar,,ganjar bikin ngantuk,0
1119,2202,"Maju trus pk anis .. sangat berbobot sekali gagasan nya... bismilah pk anis presiden.petani sekarang sedang manis pk .tolong pk ...ayo lah rakyat Indonesia yg cerdas pilih calon yg cerdas mikir bangsa kita ini yg lagi gonjang ganjing ... korupsi sekarang meraja lela loh 
Sekarang di biarkan saja
Pilih lah calon yg di usung oleh partai yg..sedang memperjuang kan masyarakat Indonesia mati matian ..
Monggo mapartai mana lah yg sedang membela kita di DPR RI....? Jgn pilih yg banyak partai yg isinya korupsi aja ujungnya si biarkan saja....!",AFFAN AZIZ,,,Anies,maju pakai anies bobot gagas nya bismilah pakai anies presidenpetani manis pakai tolong pakai ayo rakyat indonesia cerdas pilih calon cerdas mikir bangsa gonjang ganjing korupsi raja lela loh biar pilih calon usung partai juang masyarakat indonesia mati mati monggo mapartai bela dpr ri pilih partai isi korupsi ujung sih biar,0
1120,2203,"Dari ke 3 bacapres yang paling menarik gagasan yang disampaikan Anies, Ganjar terlalu menanggapi noise, dan Prabowo terlalu kaku. Saya warga jateng dan sebagai swing footers  lebih cocok ke yang gagasan pertama.",Faruk Muhamad,Prabowo,Ganjar,Anies,bacapres tarik gagas anies ganjar tanggap noise prabowo kaku warga jateng swing footers cocok gagas,1
1121,2205,"heran, knp pada kagum sama pak anis, padahal cuma jago ngomong doang, aksinya nol 😂",Thoriq Binnar Farezky,,,Anies,heran kagum anies jago omong doang aksi nol wajah gembira urai air mata,0
1122,2206,Akal sehat pasti milih pak Anies gagasannya pak Anies mmg masuk akal dan cerdas 👍,bags rian,,,Anies,akal sehat pilih anies gagas anies masuk akal cerdas jempol ke atas,0
1123,2211,Anies Baswedan TERBAIK !!!,ariessd_io,,,Anies,anies anies baik,0
1124,2214,Pak Prabowo Top Banget,@MA60,Prabowo,,,prabowo top banget,1
1125,2217,"Prabowo gg parah, anak muda all in prabowo🎉❤ selain pecinta kucing bapak jg terlalu gemoyy dengan gagasan yg luar biasa!! Jgn ragu temanteman pilih pak prabowo, 2 bacapres lain masih bisa periode berikutnya!",015 Putri Sofiyani,Prabowo,,,prabowo parah anak muda al prabowo party popper cinta kucing gemoy gagas ragu temanteman pilih prabowo bacapres periode,1
1126,2218,"w mah Anies baswedan the next presiden 2024.
No comment itu sih derita lo .
masa bodo kasihan deh lo.
bravo Anies baswedan ❤❤❤",Bay Ba,,,Anies,gue mah anies anies the next presiden no comment sih derita lo bodo kasihan deh lo bravo anies anies,0
1127,2221,"Pa Anis hnya menjelaskan secara teori,,fakta dilapangan sejak mnjdi gub.DKI,kebanyakan gagal,APBD DKI hampir 1000T hnya mampu membuat 1 puskesmas,yg lainnya bermasalah.",Andy zawa,,,Anies,anies teori fakta lapang gubdki banyak gagal apbd dki t puskesmas masalah,0
1128,2222,"Tanpa  power point, anies baswedan terlalu keren😂😂
Yang suka pakai POWER POINT,dia tidak punya POWER dan tidak punya POINT (RG)😂",Zainal abidin,,,Anies,power point anies anies keren wajah gembira urai air mata wajah gembira urai air mata suka pakai power point power point rg wajah gembira urai air mata,0
1129,2224,Fokus pada paparan pak anis sahaja,Siti Siba,,,Anies,fokus papar anies sahaja,0
1130,2225,"Janji Anies yg paling berpeluang terealisasi 
Tdk tinggi dan tdk untuk membodohi",aan syafriadi,,,Anies,janji anies peluang realisasi bodoh,0
1131,2227,Medan anis,Nining Salon,,,Anies,medan anies,0
1132,2228,"Dalam hati kecilku, tulus ikhlas mendoakan bapak Prabowo menjadi presiden 2024😇 Bismillah pak",al,Prabowo,,,hati kecil tulus ikhlas doa prabowo presiden wajah malaikat bismillah,1
1133,2232,"Semua akn indah pda waktunya, biarlah waktu yg berbicara nnti,,.. tp sy yakin p ganjar lh bkal calon pemenangnya nnti,",Jagad,,Ganjar,,indah biar bicara p ganjar calon menang,0
1134,2234,"Ganjar blunder, merendahkan profesi

Prabowo juga blunder, melegalisasi penyogokan

Anies to the point sayangnya kalah power",XI C_Match 2,Prabowo,Ganjar,Anies,ganjar blunder rendah profesi prabowo blunder legalisasi sogo anies the point sayang kalah power,1
1135,2235,"Pilihan kosakata dan kalimat Pak Anies mudah di pahami tertata dan terstruktur, menggambarkan pola pikir dan wawasan yang mumpuni",ahmadin,,,Anies,pilih kosakata kalimat anies mudah paham tata struktur gambar pola pikir wawas mumpuni,0
1136,2242,Penutup refleksi pak prabowo bikin haru.😭. Semoga pak prabowo selalu di berikan umur panjang dn kesehatan oleh allah swt aamiin ya allah🤲🏻😇,reni angraini,Prabowo,,,tutup refleksi prabowo bikin harus wajah menang keras moga prabowo umur sehat allah swt amin ya allah tangan angkat dan rapat sama warna kulit cerah wajah malaikat,1
1137,2244,"Sekelas capres gagasan GP terlalu arogan , fiks banteng skipppp",anak_terakhir,,Ganjar,,kelas capres gagas ganjar arogan fiks banteng skip,0
1138,2246,"Pak Prabowo, Cita cita  anda sama dengan saya, Sebelum mati mau liat indonesia maju, mau lihat TIMNAS MAIN DI PIALA DUNIA, semoga doa kita di kabulkan ya pak",Bagus Rizky,Prabowo,,,prabowo cita cita mati lihat indonesia maju lihat timnas main piala dunia moga doa kabul ya,1
1139,2249,PRABOWO PILIHANKU,Rumah Hiburan,Prabowo,,,prabowo pilih,1
1140,2254,Ini Ganjar bikin Pusing dah,Imam Eman,,Ganjar,,ganjar bikin pusing deh,0
1141,2257,"Pak Anies... sangat cerdas,intelek memahami persoalan bangsa.... semoga beliau menjadi pemimpin kami ya Allah 🤲🤲",Valensi Vcc,,,Anies,anies cerdas intelek paham bangsa moga beliau pimpin ya allah tangan angkat dan rapat sama tangan angkat dan rapat sama,0
1142,2258,Selama sistem tidak berubah jangan harap keadilan sosial bisa tercapai tetap aja yg berkuasa akan menindas yg lmah so klu ada g plih pak anies brarti otaknya hilang sebelah,Acil Kabit,,,Anies,sistem ubah harap adil sosial capai kuasa tindas lmah sok plih anies otak hilang belah,0
1143,2259,Ingat orang bisa berkata kata manis . Ibarat orang minjem duit kata2 manis tapi giliran ditagih malah ngeyel. Ada orang yg seperti itu. Intinya liat dulu di lapangan kayak gimana. Mana yg mau berambisi utk segelintir kalangan mana yg mau kerja buat rakyat,andre Boboboy,,,Anies,orang manis orang minjem duit katakata manis gilir tagih ngeyel orang inti lihat lapang kayak ambisi gelintir kalang kerja rakyat,1
1144,2266,"Ya Allah jadikanlah pak Anies presiden 2024 , agar kita rakyat miskin bisa merasakan indahnya Indonesia,,, lihat lah jakarta di H.I banyak orang kampung yang merasakan indahnya ibu kota🎉🎉🎉",Zaka Saputra,,,Anies,ya allah jadi anies presiden rakyat miskin rasa indah indonesia lihat jakarta hi orang kampung rasa indah kota party popper party popper party popper,0
1145,2270,bismillah saya dukung pak anis,Mohama Rozi,,,Anies,bismillah dukung anies,0
1146,2271,"Orang terpelajar, berilmu dan bernalar kritis pasti condongnya ke anies, rata² lho ya gak semuanya
Survei aja harusnya di lingkungan UGM itu misalnya, jdikan contoh",Smart Bird AFS,,,Anies,orang ajar beril nalar kritis condong anies rata lho ya survei lingkung ugm jdikan contoh,0
1147,2274,Pak anis lebih detail dan sangat luar biasa,Ayana Tyo,,,Anies,anies detail,0
1148,2275,Pak ganjar kesannya sok asyik,Idris Hrp,,Ganjar,,ganjar kesan sok asyik,0
1149,2276,"Liat pak prabowo jadi keinget pak guru pkn gw dulu yg pindah ke sekolah lain jadi kepala sekolah, entah kenapa mirip rasanya apalagi lucunya wkwk",spediy,Prabowo,,,lihat prabowo guru pkn gue pindah sekolah kepala sekolah lucu wkwk,1
1150,2278,PAK GANJAR GUBERNUR KU JATENG CALON PRESIDEN RI 😎😎😎👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻💡💡💡💡💡💡💡💡💡💡💡🇲🇨,wong ndeso channel,,Ganjar,,ganjar gubernur ku jateng calon presiden ri wajah kacamata hitam wajah kacamata hitam wajah kacamata hitam jempol ke atas warna kulit cerah jempol ke atas warna kulit cerah jempol ke atas warna kulit cerah jempol ke atas warna kulit cerah jempol ke atas warna kulit cerah jempol ke atas warna kulit cerah bohlam bohlam bohlam bohlam bohlam bohlam bohlam bohlam bohlam bohlam bohlam bendera monako,0
1151,2281,masih tetap pak anis lebih elegan & berwibawa coiiii... gaskeennn presiden,MUHAMMAD riski isnaedi,,,Anies,anies elegan wibawa coi gaskeen presiden,0
1152,2282,"Setelah saya nonton pemaparan pak anies tanpa jeda. Sangat terbuka lebar hati dan pikiran untuk mendukung pak anies.begitu tulus,santai dan jelas beliau menjawab pertanyaan2.",Al Qolbi,,,Anies,tonton papar anies jeda buka lebar hati pikir dukung aniesbegitu tulus santai beliau tanya,0
1153,2283,"Dari Dulu Saya idola sama Bapak Prabowo,,, Dengan ada nya Pak Ganjar Mencalonkan Presiden,, Saya Dan Keluarga Memilih Pak Anies Baswedan, Terimakasih,",Evan Johan Dahlan,Prabowo,Ganjar,Anies,idola prabowo nya ganjar calon presiden keluarga pilih anies anies terimakasih,1
1154,2284,Terimakasih untuk acara ini mbak Nana.. skrg jadi tidak bingung pilih siapa.. 😊❤ Bulatkan tekad insyaallah sy akan memilih bapak Anies Baswedan.. semoga kita semua sehat selalu dan umur kita sampai pàda hari Pemilu. Amin,CandiiL Baymax,,,Anies,terimakasih acara mbak nana bingung pilih wajah senyum dengan mata bahagia bulat tekad insyaallah pilih anies anies moga sehat umur p da milu amin,0
1155,2285,Anis pinter bicara....,KeCut Channel,,,Anies,anies pintar bicara,0
1156,2286,Ganjar Pranowo melanjutkan jaya nya negri ini . Jgn jadi gadrun untuk memisahkan negara ini,Asep Chanel,,Ganjar,,ganjar ganjar lanjut jaya nya negeri gadrun pisah negara,0
1157,2287,PILIH PEMIMPIN YG TEGAS KAYA DAN TIDAK BERTELELE PRABOWO SUBIANTO KAU TETAP YG TERBAIK DAN SEMOGA KAU JADI PRESIDEN INDONESIA 2024 WALAUPUN KALO KAU TIDAK TERPILIH SEMANGAT KAU TETAP MEMBARA DI NEGARA INI,Hidayatul Ikram,Prabowo,,,pilih pimpin kayak tele prabowo prabowo kau baik moga kau presiden indonesia kalo kau pilih semangat kau bara negara,1
